Year,district_name,CH_nonCH,Total
2003,Leimbach,Foreign,1068
2003,Leimbach,Swiss,3762
2003,Lindenhof,Foreign,165
2003,Lindenhof,Swiss,777
2003,Mühlebach,Foreign,1189
2003,Mühlebach,Swiss,4245
2003,Oberstrass,Foreign,2256
2003,Oberstrass,Swiss,7433
2003,Oerlikon,Foreign,6422
2003,Oerlikon,Swiss,12795
2003,Rathaus,Foreign,685
2003,Rathaus,Swiss,2464
2003,Saatlen,Foreign,2017
2003,Saatlen,Swiss,4566
2003,Schwamendingen-Mitte,Foreign,4122
2003,Schwamendingen-Mitte,Swiss,6267
2003,Seebach,Foreign,6871
2003,Seebach,Swiss,12567
2003,Seefeld,Foreign,1316
2003,Seefeld,Swiss,3680
2003,Sihlfeld,Foreign,7639
2003,Sihlfeld,Swiss,13024
2003,Unterstrass,Foreign,4543
2003,Unterstrass,Swiss,15339
2003,Weinegg,Foreign,1295
2003,Weinegg,Swiss,3452
2003,Werd,Foreign,1288
2003,Werd,Swiss,2500
2003,Wipkingen,Foreign,4848
2003,Wipkingen,Swiss,10628
2003,Witikon,Foreign,1552
2003,Witikon,Swiss,7951
2003,Wollishofen,Foreign,3528
2003,Wollishofen,Swiss,11940
2004,Affoltern,Foreign,5863
2004,Affoltern,Swiss,13023
2004,Albisrieden,Foreign,4281
2004,Albisrieden,Swiss,12806
2004,Alt-Wiedikon,Foreign,4713
2004,Alt-Wiedikon,Swiss,9838
2004,Altstetten,Foreign,10591
2004,Altstetten,Swiss,17777
2004,City,Foreign,239
2004,City,Swiss,604
2004,Enge,Foreign,2042
2004,Enge,Swiss,6167
2004,Escher Wyss,Foreign,694
2004,Escher Wyss,Swiss,1930
2004,Fluntern,Foreign,1671
2004,Fluntern,Swiss,5614
2004,Friesenberg,Foreign,2339
2004,Friesenberg,Swiss,7987
2004,Gewerbeschule,Foreign,3948
2004,Gewerbeschule,Swiss,5825
2004,Hard,Foreign,6112
2004,Hard,Swiss,6692
2004,Hirslanden,Foreign,1269
2004,Hirslanden,Swiss,5537
2004,Hirzenbach,Foreign,4194
2004,Hirzenbach,Swiss,7142
2004,Hochschulen,Foreign,217
2004,Hochschulen,Swiss,508
2004,Hottingen,Foreign,2213
2004,Hottingen,Swiss,7713
2004,Höngg,Foreign,4059
2004,Höngg,Swiss,16797
2004,Langstrasse,Foreign,4277
2004,Langstrasse,Swiss,6042
2004,Leimbach,Foreign,1100
2004,Leimbach,Swiss,3678
2004,Lindenhof,Foreign,186
2004,Lindenhof,Swiss,761
2004,Mühlebach,Foreign,1322
2004,Mühlebach,Swiss,4224
