Year,district_name,gender,Total
2002,Altstetten,M,14237
2002,City,F,418
2002,City,M,492
2002,Enge,F,4217
2002,Enge,M,4062
2002,Escher Wyss,F,1081
2002,Escher Wyss,M,1435
2002,Fluntern,F,3847
2002,Fluntern,M,3222
2002,Friesenberg,F,5345
2002,Friesenberg,M,4843
2002,Gewerbeschule,F,4258
2002,Gewerbeschule,M,5642
2002,Hard,F,6444
2002,Hard,M,6412
2002,Hirslanden,F,3813
2002,Hirslanden,M,2968
2002,Hirzenbach,F,6016
2002,Hirzenbach,M,5418
2002,Hochschulen,F,328
2002,Hochschulen,M,399
2002,Hottingen,F,5444
2002,Hottingen,M,4577
2002,Höngg,F,10901
2002,Höngg,M,9669
2002,Langstrasse,F,4573
2002,Langstrasse,M,5874
2002,Leimbach,F,2465
2002,Leimbach,M,2216
2002,Lindenhof,F,456
2002,Lindenhof,M,494
2002,Mühlebach,F,2884
2002,Mühlebach,M,2566
2002,Oberstrass,F,5116
2002,Oberstrass,M,4609
2002,Oerlikon,F,9453
2002,Oerlikon,M,9325
2002,Rathaus,F,1410
2002,Rathaus,M,1718
2002,Saatlen,F,3453
2002,Saatlen,M,3210
2002,Schwamendingen-Mitte,F,5429
2002,Schwamendingen-Mitte,M,4944
2002,Seebach,F,9542
2002,Seebach,M,9430
2002,Seefeld,F,2558
2002,Seefeld,M,2564
2002,Sihlfeld,F,10641
2002,Sihlfeld,M,10090
2002,Unterstrass,F,10490
2002,Unterstrass,M,9373
2002,Weinegg,F,2570
2002,Weinegg,M,2206
2002,Werd,F,1818
2002,Werd,M,2032
2002,Wipkingen,F,8097
2002,Wipkingen,M,7398
2002,Witikon,F,5329
2002,Witikon,M,4242
2002,Wollishofen,F,8565
2002,Wollishofen,M,7206
2003,Affoltern,F,9595
2003,Affoltern,M,9192
2003,Albisrieden,F,9106
2003,Albisrieden,M,7912
2003,Alt-Wiedikon,F,7238
2003,Alt-Wiedikon,M,7221
2003,Altstetten,F,14240
2003,Altstetten,M,14083
2003,City,F,403
2003,City,M,483
2003,Enge,F,4172
2003,Enge,M,4056
2003,Escher Wyss,F,1080
2003,Escher Wyss,M,1385
2003,Fluntern,F,3833
2003,Fluntern,M,3269
2003,Friesenberg,F,5404
2003,Friesenberg,M,4983
2003,Gewerbeschule,F,4251
2003,Gewerbeschule,M,5530
2003,Hard,F,6442
2003,Hard,M,6375
2003,Hirslanden,F,3786
2003,Hirslanden,M,3009
2003,Hirzenbach,F,5992
2003,Hirzenbach,M,5440
2003,Hochschulen,F,326
2003,Hochschulen,M,397
2003,Hottingen,F,5453
2003,Hottingen,M,4564
2003,Höngg,F,11032
2003,Höngg,M,9778
2003,Langstrasse,F,4507
2003,Langstrasse,M,5797
2003,Leimbach,F,2569
2003,Leimbach,M,2261
2003,Lindenhof,F,451
2003,Lindenhof,M,491
2003,Mühlebach,F,2863
2003,Mühlebach,M,2571
2003,Oberstrass,F,5062
2003,Oberstrass,M,4627
2003,Oerlikon,F,9612
2003,Oerlikon,M,9605
2003,Rathaus,F,1412
2003,Rathaus,M,1737
2003,Saatlen,F,3420
2003,Saatlen,M,3163
2003,Schwamendingen-Mitte,F,5421
2003,Schwamendingen-Mitte,M,4968
2003,Seebach,F,9704
2003,Seebach,M,9734
2003,Seefeld,F,2517
2003,Seefeld,M,2479
2003,Sihlfeld,F,10679
2003,Sihlfeld,M,9984
2003,Unterstrass,F,10540
2003,Unterstrass,M,9342
2003,Weinegg,F,2521
2003,Weinegg,M,2226
2003,Werd,F,1788
2003,Werd,M,2000
2003,Wipkingen,F,8034
2003,Wipkingen,M,7442
2003,Witikon,F,5306
2003,Witikon,M,4197
2003,Wollishofen,F,8388
2003,Wollishofen,M,7080
2004,Affoltern,F,9579
2004,Affoltern,M,9307
2004,Albisrieden,F,9135
2004,Albisrieden,M,7952
2004,Alt-Wiedikon,F,7243
2004,Alt-Wiedikon,M,7308
2004,Altstetten,F,14224
2004,Altstetten,M,14144
2004,City,F,383
2004,City,M,460
2004,Enge,F,4164
2004,Enge,M,4045
2004,Escher Wyss,F,1174
2004,Escher Wyss,M,1450
2004,Fluntern,F,3908
2004,Fluntern,M,3377
2004,Friesenberg,F,5374
2004,Friesenberg,M,4952
2004,Gewerbeschule,F,4255
2004,Gewerbeschule,M,5518
2004,Hard,F,6402
2004,Hard,M,6402
2004,Hirslanden,F,3814
2004,Hirslanden,M,2992
2004,Hirzenbach,F,5926
2004,Hirzenbach,M,5410
2004,Hochschulen,F,324
2004,Hochschulen,M,401
2004,Hottingen,F,5382
2004,Hottingen,M,4544
2004,Höngg,F,11044
2004,Höngg,M,9812
2004,Langstrasse,F,4493
2004,Langstrasse,M,5826
2004,Leimbach,F,2547
2004,Leimbach,M,2231
2004,Lindenhof,F,444
2004,Lindenhof,M,503
2004,Mühlebach,F,2915
2004,Mühlebach,M,2631
2004,Oberstrass,F,4960
2004,Oberstrass,M,4586
2004,Oerlikon,F,9645
2004,Oerlikon,M,9730
2004,Rathaus,F,1419
2004,Rathaus,M,1696
2004,Saatlen,F,3483
2004,Saatlen,M,3214
2004,Schwamendingen-Mitte,F,5368
2004,Schwamendingen-Mitte,M,4906
2004,Seebach,F,9726
2004,Seebach,M,9775
2004,Seefeld,F,2516
2004,Seefeld,M,2477
2004,Sihlfeld,F,10616
2004,Sihlfeld,M,9951
2004,Unterstrass,F,10459
2004,Unterstrass,M,9283
2004,Weinegg,F,2526
2004,Weinegg,M,2245
2004,Werd,F,1784
2004,Werd,M,1979
2004,Wipkingen,F,7951
2004,Wipkingen,M,7477
2004,Witikon,F,5399
2004,Witikon,M,4312
2004,Wollishofen,F,8425
2004,Wollishofen,M,7074
2005,Affoltern,F,9627
2005,Affoltern,M,9106
2005,Albisrieden,F,9161
2005,Albisrieden,M,8065
2005,Alt-Wiedikon,F,7457
2005,Alt-Wiedikon,M,7514
2005,Altstetten,F,14204
2005,Altstetten,M,14074
2005,City,F,385
2005,City,M,461
2005,Enge,F,4232
2005,Enge,M,4143
2005,Escher Wyss,F,1199
2005,Escher Wyss,M,1528
2005,Fluntern,F,3908
2005,Fluntern,M,3417
2005,Friesenberg,F,5398
2005,Friesenberg,M,4962
2005,Gewerbeschule,F,4184
2005,Gewerbeschule,M,5506
2005,Hard,F,6322
2005,Hard,M,6393
2005,Hirslanden,F,3872
2005,Hirslanden,M,2987
2005,Hirzenbach,F,5841
2005,Hirzenbach,M,5424
2005,Hochschulen,F,315
2005,Hochschulen,M,380
2005,Hottingen,F,5436
2005,Hottingen,M,4664
2005,Höngg,F,10971
2005,Höngg,M,9802
2005,Langstrasse,F,4447
2005,Langstrasse,M,5921
2005,Leimbach,F,2576
2005,Leimbach,M,2291
2005,Lindenhof,F,451
2005,Lindenhof,M,499
2005,Mühlebach,F,2909
2005,Mühlebach,M,2668
2005,Oberstrass,F,4921
2005,Oberstrass,M,4573
2005,Oerlikon,F,9736
2005,Oerlikon,M,9927
2005,Rathaus,F,1391
2005,Rathaus,M,1690
2005,Saatlen,F,3437
2005,Saatlen,M,3212
2005,Schwamendingen-Mitte,F,5381
2005,Schwamendingen-Mitte,M,4941
2005,Seebach,F,9879
2005,Seebach,M,10000
2005,Seefeld,F,2474
2005,Seefeld,M,2449
2005,Sihlfeld,F,10566
2005,Sihlfeld,M,9988
2005,Unterstrass,F,10475
2005,Unterstrass,M,9446
2005,Weinegg,F,2586
2005,Weinegg,M,2257
2005,Werd,F,1811
2005,Werd,M,2067
2005,Wipkingen,F,7915
2005,Wipkingen,M,7531
2005,Witikon,F,5515
2005,Witikon,M,4349
2005,Wollishofen,F,8455
2005,Wollishofen,M,7137
2006,Affoltern,F,9651
2006,Affoltern,M,9142
2006,Albisrieden,F,9207
2006,Albisrieden,M,8068
